,sentence,label
0,국가재난인데 염병할 새끼들 싸우고 쳐 앉았네 중국인 입국 금지나 시켜라,욕설
1, 합의는 개뿔 얼마나가겟냐,욕설
2,으따 일본뇌염은 되지만 우한폐렴 안된당께~~ 그거슨 혐오랑께~,욕설
3,한걸래는 진짜 간첩언론아님? 언제 없어짐?,욕설
4,더불어 짱꿰벌레당 ㅉㄷㅉㄷ ㅋㅋㅋㅋㅋㅋㅋ,욕설
5,우한폐렴을 우한폐렴이라 못부르게 하는 넘들! 니들이 홍길동애비냐?,욕설
6,수꼴 토착왜구당 자한당스럽다,욕설
7,띠동갑이 대세는 ㄴ ㅣ미 ㅋㅋㅋㅋㅋㅋㅋ,욕설
8,뭐래 여전히 재수없네 군대나 가 힙찔아,욕설
9,니 크기가 더 쪼맨할듯 ㅋㅋ,욕설
10,아 종니 이기사쓴 기레기이름이 박윤진인데,욕설
11, 진짜 기레기를 넘어서서 쓸레기내 진짜 쓸기사없음 쳐자라,욕설
12,좆돌빠는 똥꼬충 군쾅군쾅,욕설
13,좆국인들이 기생충으로 부심부리는 거 중국은 얼마나 웃길까,욕설
14,한남충들 백인 여자한테 백마라고 하는거,욕설
15,미생물꿘이노 살남을 목표로 바이러스 연구중이다이기,욕설
16,좆빨러들 도와줄 필요 없노,욕설
17,앙앙이도 머구출신인거 알고 이제 개오바쳐떨면서 박수치진 않을거같노 뒷조사해서 예능에서 빨아즐지 아닐지 정해질거 같다이기야,욕설
18,그 여혐버무리 좆감독새끼는 하루빨리 재기하길 바라노,욕설
19,동시에 좆같은 한남민국 현실은 나아지는것 같지도 않았고  그 모든 복잡한 일들 이전에 내 삶의 방향을 잡기에 급급했었다이기,욕설
20,자지새끼들 다 죽여버리고 싶고 죽여버릴건데,욕설
21, 그냥 삶에 너무 지쳐있었을 뿐이니,욕설
22,내가 ^페미니즘^을 시작한 이유는 가좆장제에 의해 내 삶을 도둑맞았다고 느꼈기때문이노,욕설
23,이 좆같은 황고환 개새키,욕설
24,도합 천명 모여서 황고환 부랄 터뜨렸음,욕설
25,달창련 가짜뉴스 타령하노,욕설
26,디스패치 킴킴변 이진호 좆됐네,욕설
27,대깨문 저능아 새끼들 존나 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋ,욕설
28,저능아 새끼들 ㅋㅋㅋㅋ,욕설
29,아예 찍어줄 생각도 없으면서 트집 존나게 잡노 ㅋㅋㅋㅋ,욕설
30,그럼 씨발 왜 뒤지는데,욕설
31, 좃병신은 넌데? 좃병신 새끼,욕설
32, 한물간 약쟁이,욕설
33,펫충들 좀 꺼졌음 좋겠다 ㅡㅡ,욕설
34,입닥치고 조용히 살지 저 프로 진짜 문제 있네,욕설
35,짱깨 미개한것들이랑 똑같애 저거 처먹고 인스타질은햇겟지,욕설
36,그냥 목매달고 자살하지 ㅋㅋㅋㅋ존나까부네,욕설
37,아주 지랄을 하네!,욕설
38, 골빈놈아 대가리에 똥만차가꼬 지가 잘못하구선 누구보러 못됬데 또라이,욕설
39, 정신못차렸네 조빠압,욕설
40,이런세키 안뒤지나 약쟁이주제에 빅뱅안되엇음 어디 노래방 웨이터나 될세1기가 ㅉㅉ,욕설
41,똘.....갱.....이네...ㅍㅎㅎ,욕설
42,머리좀 어찌 해라 니미,욕설
43,꽃길만 걸으랬더니 꼬ㅊ길만 걷는구나...,욕설
44,나탈리 저거 꼴페미네... 여자라서 안 뽑혔다는 전형적인 빼액질 여혐 타령... 혹시 양페미는 다르다고 생각하는 흑우 없제?,욕설
45,여자들은 기어오르지 못하게 3일에 한번씩 팬후에 투표권을 전부 박탈해야 한다.,욕설
46,폐미니즘은 정신병이다,욕설
47,아래껄 벌리기만 하지말고 판을 좀 제대로 벌려봐라 . 징징대지좀 말고,욕설
48,얘도 페미코인타고는 븅같어ㅋ 페미언냐들 여기있어?,욕설
49,니조작은뭐니??소설이니???ㅈㄹ하고자빠졌네,욕설
50,마약 강간 성매매 뺑소니한국 살면서 하고싶은거 다 하고 산새끼들이 이제와서 너무하다고 ㅋㅋ,욕설
51,ㅈ ㄹ 을 하세요^^,욕설
52,마약 여체 섹스,욕설
53,꺼져~ 쒝꺄~ 뽕쟁이,욕설
54,최악의 세대 3040한녀들이 ㅈ같은건 사실이지 ㅎㅎ,욕설
55,지가 못되고 잘못 산거는 모르네 개 쓰레기가,욕설
56,기어나오지마. 지가 한 말도 못지키는 게 무슨. 맨날 개소리 헛소리. 약쟁이에 저능한 추한 OOO. 안나오겟다더니 미국으로 가서 또 쑈하냐? 멍청한 색';';'끼,욕설
57,한국에서 영원히 꺼져라 약쟁이 ㅅㅋ야,욕설
58,ㅈㄹ도 가지가지하네,욕설
59,미@#친 놈.. 저런 놈은 지가 한 생각 안 함. 지가 똥 싸고 한국 사람은 그 똥 못 먹으니까 중국 놈들한테나 가서 내 똥 좀 먹어주고 관심 좀 가져주세요 할 꺼잖아. 개냐? 그 딴 짓하게?,욕설
60,문재인지지자들.북한보네라18공상당사상자들,욕설
61,이런걸 ㅂㅅ 육갑떤다고하지,욕설
62,지자 ㅈㄹ하고자빠졌네 ㅋㅋㅋㅋㅋ,욕설
63,피해자 코스프레 쉽게돈벌구 점점ㅁㅊ가는구만 뇌구조가 정신병원좀 가구 우한으로 가길빈다 ㄸㄹㅇ가 따루없군,욕설
64,약쟁이 ㅅㄲ ㅋㅋㅋ,욕설
65,마약한 녀석이 ㅂ~~~~ㅅ~~~~~~~~~~임,욕설
66,ㅈㄹ한다ㅋㅋ개소리는니집구석에서,욕설
67,미 친 새 끼 나이처먹고 아직도 정신못차리네 약쟁이 는 약쟁이 네,욕설
68,정 신 병 자,욕설
69,지랄하고 자빠졌네.ㅋㅋ 지 얼굴에 침뱉은거 빠순이들이 핥아주겠지,욕설
70,약 빨고 있는 중????,욕설
71,아직도 약빨고 다니냐?개소리 나불대고 있어 싹퉁머리 없는놈이,욕설
72,그냥 조국은 아가리 좀 닥치고 있어야 민주당 총선에 유리하다. 왜 자꾸 입을 놀리는지 모르겠다.,욕설
73,어디서 개짖는 소리가 나냐..,욕설
74,욕나옴 ㅅ ㅣ 블,욕설
75,참 지랄을 한다. 근데 허구헌날 따라다니던 그 돼지같은 x은 왜 없냐,욕설
76,내시=트젠 이 ㅈㄹ하고있네 멍청한새끼들.,욕설
77,쌍뇬들 여가부에 구해달라해라,욕설
78, 지좃대로 배운사람,욕설
79,덕분에 베리나가 얼마나 미친년인지 알게 되었내요,욕설
80,어린이 강간하는 영상이 있다고?,욕설
81,군대는 고문관 ㅅㄲ가 가장 ㅈ같,욕설
82,중학교에서는 낄끼빠빠가 안되는 애가 그렇게 ㅈ같더라 근데 앞에꺼 싹 다치우고 배리나가 가장 ㅈ같다,욕설
83,씨x 마지막에 모자이크 처리안하냐,욕설
84,아 진짜 개 죠패규싶다,욕설
85,재리나 지금보면 개 미쳤다..,욕설
86,시...인발 저런 조....지같은 녀..연이,욕설
87,진짜 개쪽팔립니다,욕설
88, 보겸새끼ㅜ영상 차단 안된다고,욕설
89,이 병신쉐끼!,욕설
90,여자애들 좀 지켜줘 씨발자지들아,욕설
91,왕자인척도 안하고 그저 시발거 철구 보겸 봉준이 앙기모띠냐,욕설
92,보봊이 하이루인줄 알았냑,욕설
93,도대체 씨발 페미새끼들은 죄없는 사람 멘탈을 왜 털고 다니는거냐,욕설
94,존나 진짜 한심하고 불쌍하다 병신들,욕설
95,ㅇㅈㄹ 하는거지 방구석 앉아서 사람 망치는 거,욕설
96,야 저 새끼 보겸 팬이라는데,욕설
97,제발 더이상 트위터를 병신같이 쓰지마,욕설
98,아씨발 새끼가 보겸  구독함씨발,욕설
99,너 재앙이가 얼마나 대줬노,욕설
100,로운한테하면 좆되는거 알지?,욕설
101,770칼로리 먹을때마다 0.1키로씩 찐다고 생각하면 식욕재기,욕설
102,깁텍 섹스충 매운 짬지 탐라에 함 심어 보세요,욕설
103,씨발개병신호로잡년들!!!,욕설
104,헐 씨발 뭐라고 했냐!!,욕설
105,떻게 그런 워딩을 쓰냐 진짜 존나 더럽다!!!! 느그들 다 재기해,욕설
106,ㅇㅏㅁㅣ도 좆같고 ㅂ6탄도 존나 개좆같다!,욕설
107,사회성 재기한 새끼들이 초딩 아미 조롱하는 걸,욕설
108,업보 쌓아서 되돌려주면 여자 패지 말래 야이씨발 초딩아미는 나이어린여자다,욕설
109,남자 좆까 공예자지 좆까 웅앵거리는 트젠 똘추 빠른 재기바람,욕설
110,재기민기나 느개비란 말에도 파르르 떨던 사람들이었으니 ,욕설
111,야이씨발련롬들아페잉해라왜안해줘?,욕설
112,그런거지썅련들아?진짜못됐다그냥같이죽자같이재기하자고같이운지하자썅씨발병신련들아,욕설
113,코스프레용으로 꼬리 살려고 하는데 시발!!,욕설
114,!쎅스!!!!!!!할때 쓰는 꼬리플러그는 만얼마밖에 안하면서 씨발!!!,욕설
115,한번 섰다고 욕 뒤지개 하네 차라리 애나 욕해라 페미년아,욕설
116,진짜 꼴페미들은 전신병입니다,욕설
117,이 다음에도 줄지어 트젠 새끼들이 '사례'를 들먹이며 시도할 거고,욕설
118,네일베 틀딱 알바들은 돈이라도 받지 얘는 돈도 안 받고 무급봉사 했구만,욕설
119,문재앙만큼 등신임,욕설
120,문재앙도 등신이라면 세계에서 손에 꼽히니까,욕설
121,문재앙보다 등신도 아니고 딱 문재앙 수준,욕설
122,염병 알고 싶지도 않다 ㅈㄴ 유치해,욕설
123,문재앙이 만든 한번도 경험하지 못한 병신나라.,욕설
124,짱깨가 항의하면 한밤중에 공식발표도 번복하는 병신정권,욕설
125,빻은 소리 하는 줄도 모르고 지들이 정의라는 신념 노무노무 미개하다이기.,욕설
126,아따 여자라면 이기야노체는 물론이고 보지보지 한남유충 찢어버리고 싶다,욕설
127,적어도 보지들 얘기하는거보면 워마드 그게 ^사람^이 할 소리인가요,욕설
128,좆선놈들 아니랄까봐 흑좆나 졸렬하다이기.,욕설
129,이딴소리 해대는 소추들은 그냥 무시가 답이노.,욕설
130,개돼지는 잘쳐줘도 먹버용이노 가까이 있다간 나마저 개돼지내에 잠식당할 것 같아,욕설
131,그리고 웜 윽입인거 같은데 월베 주베 정독해라이기,욕설
